Ability,Adaptive Mean,Linear Mean,Improvement (%),Adaptive Std,Linear Std
0.2,6.20,5.10,-21.6%,3.22,5.45
0.3,4.40,10.80,59.3%,3.81,14.88
0.4,4.10,16.80,75.6%,4.12,17.55
0.5,7.90,20.40,61.3%,8.05,14.10
0.6,4.50,1.40,-221.4%,7.35,1.26
0.7,3.50,3.60,2.8%,1.96,3.37
0.8,4.10,15.50,73.5%,2.42,13.48
0.9,12.50,30.00,58.3%,8.98,13.93
