ability,mode,mean_steps,std_steps,median_steps,convergence_rate,mean_error,std_error,sample_size
0.2,Adaptive,6.2,3.2249030993194197,7.0,1.0,0.015152780944998575,0.011761164140883655,10
0.2,Linear,5.1,5.4456914671651715,2.5,1.0,0.03709990139882878,0.009471598718766476,10
0.3,Adaptive,4.4,3.806427312965386,3.0,1.0,0.018626599284581075,0.01655605220649252,10
0.3,Linear,10.8,14.883249346534216,5.0,0.9,0.03420045860257785,0.02310153252803013,10
0.4,Adaptive,4.1,4.121757985239901,2.0,1.0,0.025177550877870408,0.01702903232827206,10
0.4,Linear,16.8,17.548662500474375,11.0,0.9,0.05156591753495472,0.04777811490358802,10
0.5,Adaptive,7.9,8.047774019358812,4.0,1.0,0.030670142759486964,0.00750230050885065,10
0.5,Linear,20.4,14.104372844381748,16.0,0.9,0.03292048502829799,0.0446184692052403,10
0.6,Adaptive,4.5,7.352248333370926,1.0,1.0,0.03095437738375346,0.009378422773056543,10
0.6,Linear,1.4,1.2649110640673518,1.0,1.0,0.03328323733037945,0.00023155515945211448,10
0.7,Adaptive,3.5,1.9578900207451218,2.0,1.0,0.02832556137900304,0.005701281904607199,10
0.7,Linear,3.6,3.3730961708462717,2.0,1.0,0.0386816163372282,0.019452984849793575,10
0.8,Adaptive,4.1,2.4244128727957577,3.0,1.0,0.006549759116065301,0.009497731460565331,10
0.8,Linear,15.5,13.48455907077919,9.0,0.9,0.031900211209679896,0.03305742731271055,10
0.9,Adaptive,12.5,8.98455464796237,11.0,1.0,0.03457719321300965,0.006281763037458823,10
0.9,Linear,30.0,13.92838827718412,22.0,0.7,0.06451007194556455,0.0362798426779638,10
